"thread_id","thread_date","author_id","thread_title","thread_body"
15656,"2025-07-04 17:52:40.043576+00",17150,"M&A Counsel For Sell Side With Dual HQ (EU and US) $2.5BN+ Valuation","A friend is looking for recommendations for sell side counsel for a SaaS company going through an exit. Valuation will be between $2.5BN and $4BN. European based parent company, but SaaS entity is dual headquartered in Europe and U.S. Not just looking for all the usual suspects at the big firms, but someone who will really be pragmatic and efficient, and may consider an alternative fee arrangement. "
15656,"2025-07-04 17:52:40.043576+00",17150,"M&A Counsel For Sell Side With Dual HQ (EU and US) $2.5BN+ Valuation","A friend is looking for recommendations for sell side counsel for a SaaS company going through an exit. Valuation will be between $2.5BN and $4BN. European based parent company, but SaaS entity is dual headquartered in Europe and U.S. Not just looking for all the usual suspects at the big firms, but someone who will really be pragmatic and efficient, and may consider an alternative fee arrangement. "
15657,"2025-07-04 18:44:00.472981+00",4364,"NMLS Fingerprinting In Brazil and Portugal","I need to help some high-net-worth individuals who live in Brazil and Portugal through the process of submitting MU2s and fingerprints to NMLS, and it would be great to find Portuguese speakers in either country who have done this before, particularly the fingerprinting. Suggestions would be very welcome. "
15658,"2025-07-04 21:18:26.44245+00",21288,"Secondary Lenders/Contact Request","Aloha! I am trying to help my client in short order get connected to any sales/lenders at these institutions. Does anyone have any contacts at these lenders? Bluevine, Fundbox, Rapid Finance, Fora Financial. "
15660,"2025-07-06 12:40:34.310789+00",35425,"Data Mapping Template","Does anyone have a template for working with data and R&D team to map flows of customer data, particularly with third party subcontractors? "
15662,"2025-07-07 13:47:39.618522+00",4140,"DORA - Supporting A Critical Business Function","Hi! For those of you who have European clients who have designated your firm as being an ICT service provider who support a critical business function, I'd love to hear from you as to how you are approaching this, given the onerous additional Article 30 obligations. Are you charging those clients a premium for the exercise of these additional rights? "
15663,"2025-07-07 15:49:41.784907+00",37791,"Document Comparison Tools","Hello! My team is looking for a comprehensive and user-friendly document comparison tool. We currently use Word but would love to find something that can compare between PDFs/docs. I know Litera is a popular one, but I was wondering if anyone has any more budget-friendly suggestions. Thanks! "
15664,"2025-07-07 15:54:07.499027+00",23111,"Legal Counsel Licensed in France and New York Seeking A New Role","Perhaps this is not the right forum, but someone has reached out to me looking for a new position. The attorney is licensed in both France and New York and has 12 years of experience in litigation & commercial transactions in both French and New York arenas. Looking for a on-site, hybrid or remote position and willing to relocate for the right role. If anyone needs someone like this - I'd love to send them your way. Or if you think you know someone who might - also please let me know. "
15665,"2025-07-07 15:57:54.007059+00",4167,"Globalizing Corporate Bonus Programs","What have other multi-national employers done with respect to ex-US employees participating in corporate bonus programs? So far, we do not have employees eligible for a new corporate bonus program outside of the U.S. (it's only for VP+ employees) but the bonus program will likely expand over time. Our global employment counsel has advised either globalizing the bonus plan (similar to what we have done for our commission plan), add country-specific riders, or fully and expressly incorporate the bonus terms into the contracts rather than referencing the standalone program document. Curious to learn what your experience has been and any lessons learned. "
15666,"2025-07-07 17:21:46.897818+00",23111,"Plaintiff Employment Attorney In Ohio","Hey everyone, a friend of a friend is looking for plaintiff's side employment counsel in Ohio (Cincinatti would be best). Possible wrongful termination - but at this point just needs some advice. Thanks in advance for any leads. "
