title,cue_start,cue_end,text,language,kind,vimeo_generated_speaker,matched_speaker_id,created_at,updated_at
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,4.715,5.765,Welcome everybody.,en-x-autogen,captions,1,,2025-06-23T15:50:07.998Z,2025-06-23T15:50:07.998Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,5.945,7.245,"Um, my name is Heather Wallinger,",en-x-autogen,captions,1,,2025-06-23T15:50:07.998Z,2025-06-23T15:50:07.998Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,7.245,8.485,event host here at the L Suite.,en-x-autogen,captions,1,,2025-06-23T15:50:07.998Z,2025-06-23T15:50:07.998Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,8.905,11.285,Our panel today will focus on prompting,en-x-autogen,captions,1,,2025-06-23T15:50:07.998Z,2025-06-23T15:50:07.998Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,11.285,13.205,with precision leveraging AI,en-x-autogen,captions,1,,2025-06-23T15:50:07.998Z,2025-06-23T15:50:07.998Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,13.205,14.805,responsibly as in-house counsel.,en-x-autogen,captions,1,,2025-06-23T15:50:07.998Z,2025-06-23T15:50:07.998Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,15.225,17.365,We have a really great set of speakers for here today.,en-x-autogen,captions,1,,2025-06-23T15:50:07.998Z,2025-06-23T15:50:07.998Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,17.585,20.565,"I'm pleased to welcome Tommy Tavares Ferrera,",en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,20.575,22.525,chief Strategy Officer at Law Trades.,en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,23.105,24.725,"We have, we have Jason Satoma,",en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,24.725,27.245,"general Counsel at Tiffin Ag in Access,",en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,27.745,30.685,"and we have Alex Rendells, general counsel at Jasper ai,",en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,31.565,33.525,"a really big thank you to our sponsor for today's session,",en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,34.065,36.205,"uh, law Trades for making this event possible.",en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,36.825,38.285,"So that is it for me, Tommy.",en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,38.485,40.085,I will hand it over to you to get us started.,en-x-autogen,captions,1,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,41.145,44.575,Thank you. Hi everybody. I am Tommy Avara Spira.,en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,44.635,47.335,"I'm the Chief Strategy Officer at Law Trades,",en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,47.335,48.335,as Heather just said.,en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,48.515,51.775,"And for those who haven't worked with us yet, law Trades is,",en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,52.075,55.815,"uh, a marketplace for on demand legal talent.",en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,56.305,58.215,We're the go-to partner for companies,en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,58.215,61.095,"that need vetted high caliber lawyers, legal ops, pros,",en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,61.335,62.895,contract managers or paralegals.,en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
Prompting with Precision: Leveraging AI Responsibly as In-House Counsel,63.145,65.575,Think of this as the legal team behind your legal team.,en-x-autogen,captions,2,,2025-06-23T15:50:07.999Z,2025-06-23T15:50:07.999Z
