title,cue_start,cue_end,text,language,kind,vimeo_generated_speaker,matched_speaker_id,created_at,updated_at
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",0.2,5.6,Hi everyone.,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",5.6,8.8,I'm Louisa Daniels general counsel,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",8.8,10.9,for recursion Pharmaceuticals.,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",11.6,16.6,I joined recursion halfway through,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",16.6,19.2,the IPO preparation stage. I,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",19.2,22.4,would say or or probably three quarters of the way through,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",22.4,25.9,and that was in January of 2021. We,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",25.9,29.7,went public in on April 15th 2021.,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",28.7,31.9,So we just made it before in,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",31.9,34.3,the market completely changed had a,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",34.3,38.4,"very big IPO, but we did it very very fast and",en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",37.4,41.3,recursion is part of,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
"Laying the Groundwork - Employee & Early Shareholder Equity Best Practices (Louisa Daniels, Recursion; Jeff Le Sage, Liquid Stock)",41.3,44.9,the new wave of tech enabled drug Discovery companies.,en-x-autogen,captions,,,2025-06-18T11:22:27.341Z,2025-06-18T11:22:27.341Z
